sku,product_name,product_price,product_img,product_description
#06166761,1Pcs Pore Cleaner Brush Nose Clean Electric Facial Blackhead Remover Treatment Vacuum Suction Device Acne Extractor Face Care Tool  ,"
				Rs397
			",https://li3.rightinthebox.com/images/384x384/201708/ylvpnm1503650672090.jpg,
#04468837,Dragonhawk® Professional Tattoo Kit 4 Cast Iron Tattoo  Machine Liner&Shader Power Supply Complete Kit  ,"
				Rs8,946
			",https://li5.rightinthebox.com/images/384x384/201801/qnq1516762092008.jpg,
#00080580,100 Pcs Black Disposable Tattoo Needles and Tubes Grip Supply  ,"
				Rs2,683
			",https://li3.rightinthebox.com/images/384x384/201511/yhauaq1448364011189.jpg,
#01141555,Dragonhawk® 50Pcs  Disposable Sterile Tattoo Needles Mix Sizes  ,"
				Rs536
			",https://li7.rightinthebox.com/images/384x384/201403/dheexx1394523386259.jpg,
#05540123,18 colors eye shadow Eyeshadow Palette Dry Eyeshadow palette Powder Set Daily Makeup  ,"
				Rs529
			",https://li6.rightinthebox.com/images/384x384/201707/vdwh1499219711803.jpg,
#03854084,Professional Tattoo Kit 10 Color Inks 1 Rotary Machine 2 Cast Iron Machines Liner & Shader LCD Power 20 Tattoo Needles  ,"
				Rs3,313
			",https://li7.rightinthebox.com/images/384x384/201711/zkll1511141582929.jpg,"Tattoo Machine Type:, 1 rotary machine liner & shader, 2 cast iron machine liner & shader"
#04408642,Solong Tattoo Complete Tattoo Kit 2 Pro Machines 28 Inks Power Supply Needle Grips  ,"
				Rs4,174
			",https://li4.rightinthebox.com/images/384x384/201801/vqtl1515576813739.jpg,"Tattoo Machine Type:, 2 alloy machine liner & shader"
#03854077,Beginner Tattoo Kit 1 Machine Professional Tattoo Kit 1 Cast Iron Machine Liner & Shader 1 Mini Power Supply 10 Tattoo Needles No Carrying Case  ,"
				Rs2,087
			",https://li7.rightinthebox.com/images/384x384/201507/pdbt1436845191181.jpg,"Tattoo Machine Type:, 1 cast iron machine liner & shader"
#03071579,Dragonhawk® Starter Tattoo Kits 2 Cast Iron Machine Liner & Shader LCD Power Supply Complete Kit  ,"
				Rs2,981
			",https://li8.rightinthebox.com/images/384x384/201711/lgmz1511142874901.jpg,"Tattoo Machine Type:, 2 cast iron machine liner & shader"
#01287194,Dragonhawk® Professional Silica Gel Tattoo Power Supply Clip Cord Soft  ,"
				Rs377
			",https://li5.rightinthebox.com/images/384x384/201404/iljlmm1398067634196.jpg,
#06186584,Tattoo Pen Carved Liner and Shader Alloy Professional Tattoo Machine  ,"
				Rs3,339
			",https://li7.rightinthebox.com/images/384x384/201708/qukinp1504158964772.jpg,
#06097197,Acurio Portable Rotatable OLED Screen Fingertip Pulse Oximeter AS-301  ,"
				Rs1,258
			",https://li2.rightinthebox.com/images/384x384/201708/krmgrx1502090905572.jpg,
#04971544,Solong Tattoo Permanent Makeup Kit Tattoo Pen Eyebrow Lip Machine Set EK703-3  ,"
				Rs4,871
			",https://li3.rightinthebox.com/images/384x384/201605/ufgcfa1463126703100.jpg,
#06230904,Finger Automatic Portable Antomatic Off Convenient Backlight  ,"
				Rs1,060
			",https://li2.rightinthebox.com/images/384x384/201709/qyqppw1505895753364.jpg,
#06220725,Kemei 6181 Razor Rechargeable Electric Shaver   Men's Face Care 5D Floating Shaver  ,"
				Rs1,192
			",https://li1.rightinthebox.com/images/384x384/201709/xdohim1505550282167.jpg,
#06205395,YY FS3188 3 in 1 220V Sanshou Razor Men's Razor Wash Rechargeable razor  ,"
				Rs861
			",https://li3.rightinthebox.com/images/384x384/201709/zddlcq1505057013956.jpg,
#06097195,Acurio Infrared Mini Style Sensor Portable  Fahrenheit/Celsius Measurements Baby Ear Thermometer AT606 Easy to Carry  ,"
				Rs1,049
			",https://li4.rightinthebox.com/images/384x384/201708/rmjqms1502090903765.jpg,
#05638358,Health Care Wrist Portable Digital Automatic Blood Pressure Monitor  ,"
				Rs932
			",https://li6.rightinthebox.com/images/384x384/201703/baagru1490534585163.jpg,
#06097193,Acurio Portable Multi-function Special Design Swivel Screen Easy Carrying LED  Fingertip Pulse Oximeter AS-301L  ,"
				Rs751
			",https://li2.rightinthebox.com/images/384x384/201708/rbjhes1502090900310.jpg,
#05555828,Nail Art Glitter Powder Tyrant Gold Hexagonal Sequins Powder Dust Mix Size Nail Glitter Powder Flash Acrylic Manicure Nail  ,"
				Rs397
			",https://li3.rightinthebox.com/images/384x384/201702/ghhtsj1487488321265.jpg,"Style:, Glitters"
#05996712,48W 20pcs Dual Light Source LEDs3pcs Red Light LEDs forProfessional Nail Dryer Machine LED Nail Lamp Fingernails Toenails Curing UV Gel Nail Art Tool  ,"
				Rs2,385
			",https://li4.rightinthebox.com/images/384x384/201707/ajxysl1499415485274.jpg,
#02570249,2500Pcs Rhinestone Multy-color Acrylic Nail Art Design DIY Design Decoration Manicure Tips Nail Accessories   ,"
				Rs397
			",https://li4.rightinthebox.com/images/384x384/201612/uyuv1481340287178.jpg,"Type:, Nail Jewelry,Style:, Lovely"
#03415192,50PCS Snowflake Shape Slice Metal Nail Art Decoration  ,"
				Rs357
			",https://li1.rightinthebox.com/images/384x384/201505/mgfrvw1432619562650.jpg,"Material:, Metal,Type:, Nail Jewelry,Style:, Abstract"
#01402590,24PCS Mixs Color Striping Tape Line Nail Stripe Tape Nail Art Decoration Sticker  ,"
				Rs198
			",https://li3.rightinthebox.com/images/384x384/201801/rhpl1516826573771.jpg,"Type:, Foil Stripping Tape,Style:, Abstract"
#05078612,4 Size 280pcs Nail Art Tips Crystal Glitter Rhinestone Decoration Wheel  ,"
				Rs397
			",https://li5.rightinthebox.com/images/384x384/201607/rqtlqf1468244480551.jpg,"Style:, Glitters"
,,,,
