sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visiblity,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_main_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty-inc,enable_qty_increments,is_decimal_divided,website_id,defered_stock_update,use_config_defered_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus,product_img
#05369699,,,,,,Women's A Line Solid SkirtsDaily Casual Mid Rise Above Knee Zipper PU Micro-elastic Fall / Winter  ,"Design:, Mesh,Pants Type:, A Line",,,,,"
				Rs844
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06056723,,,,,,"Women's Sports Going out Simple Casual Street chic Punk & Gothic Spring Fall Leather Jacket,Solid Notch Lapel Long Sleeve Regular Cowhide  ","Style:, Punk & Gothic, Street chic, Simple,Occasion:, Sports,Design:, Embroidered,Outerwear Type:, Leather Jacket",,,,,"
				Rs2,084
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05562305,,,,,,"Women's Daily Going out Holiday Vintage Cute Sexy Loose Sheath Dress,Polka Dot Strap Maxi Sleeveless Polyester Summer Fall High Rise  ","Style:, Cute, Vintage, Sexy,Occasion:, Holiday,Neckline:, Strap,Waistline:, High Rise,Dress Length:, Maxi,Pattern:, Polka Dot",,,,,"
				Rs450
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04950629,,,,,,Women Bags PU Nylon Backpack Sports & Leisure Bag School Bag Travel Bag for Wedding Event/Party Shopping Casual Sports Formal Outdoor  ,"Occasion:, Formal, Outdoor, Sports, Casual,Main Materials:, Nylon, PU",,,,,"
				Rs1,490
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li5.rightinthebox.com/images/384x384/201605/zrduwf1462272188557.jpg
#05613820,,,,,,"Women's Beach Holiday Boho A Line Dress,Print V Neck Maxi Long Sleeves Cotton Summer Inelastic  ","Style:, Boho,Occasion:, Beach, Holiday,Dresses Type:, A Line,Fabric:, Cotton,Design:, Split,Dress Length:, Maxi",,,,,"
				Rs788
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05726686,,,,,,"Women's Daily Simple Casual Winter Spring Regular Jackets,Solid V Neck Cotton  ","Style:, Simple,Fabric:, Cotton",,,,,"
				Rs417
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#03550013,,,,,,"Women's Regular Pullover,Solid Long Sleeves Cotton Linen Others Winter  ","Tops Type:, Blouse,Fabric:, Linen, Cotton",,,,,"
				Rs394
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#03938178,,,,,,Women's Off The Shoulder Casual/Print Micro-elastic Short Sleeve Regular T-shirt (Cotton)  ,"Tops Type:, T-shirt,Fabric:, Cotton",,,,,"
				Rs281
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#03550010,,,,,,"Women's Casual/Work Long Sleeve Pullover , Knitwear Medium  ",,,,,,"
				Rs331
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#03550104,,,,,,"Women's Daily Casual Striped Boat Neck Pullover, Long Sleeves Spring Fall  ","Neckline:, Boat Neck,Sleeve Type:, Batwing Sleeve,Pattern:, Striped",,,,,"
				Rs225
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04826699,,,,,,"Women's Casual / Day Floral Sheath Dress , Round Neck Midi Cotton  ","Style:, Vintage,Dresses Type:, A Line,Fabric:, Cotton,Waistline:, High Rise",,,,,"
				Rs675
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05155342,,,,,,"Women's Beach Holiday Boho Loose Chiffon Dress,Striped Off Shoulder Mini Long Sleeves Polyester Summer Mid Rise Micro-elastic  ","Occasion:, Beach, Holiday,Neckline:, Off Shoulder,Design:, Ruffle,Dress Length:, Mini,Pattern:, Striped",,,,,"
				Rs689
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04675877,,,,,,"Women's Lace Solid Blue Red White Black Green Dress,Casual Plus Sizes Round Neck Short Sleeve  ","Style:, Sophisticated,Dresses Type:, Lace,Special Size:, Plus Size",,,,,"
				Rs450
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05392507,,,,,,"Women's Daily Going out Casual Street chic All Seasons Blouse,Solid Cotton Rayon Thin  ","Tops Type:, Blouse,Fabric:, Cotton",,,,,"
				Rs506
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05791260,,,,,,"Women's Going out Vintage Blouse,Solid Floral Boat Neck Short Sleeves Others  ","Style:, Vintage,Tops Type:, Blouse,Neckline:, Boat Neck",,,,,"
				Rs394
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04002106,,,,,,"Men's Daily Weekend Casual Color Block Pullover, Long Sleeves Winter Fall Cotton Polyester  ","Fabric:, Polyester, Cotton,Pattern:, Color Block",,,,,"
				Rs957
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04226256,,,,,,Women's Knuckle Ring Basic Fashion Rhinestone Imitation Diamond Alloy Leaf Flower Jewelry Party Daily Casual  ,"Shape:, Leaf",,,,,"
				Rs397
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li1.rightinthebox.com/images/384x384/201508/pmttrr1441021111970.jpg
#05726474,,,,,,"Women's Party Beach Club Sexy Tank Top,Plaid Halter Long Sleeves Cotton Polyester  ","Style:, Sexy,Occasion:, Beach, Club, Party,Tops Type:, Tank Top,Neckline:, Halter,Fabric:, Cotton,Sleeve Type:, Petal Sleeve",,,,,"
				Rs1,126
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05242335,,,,,,"Women's Mid Rise Stretchy Slim Jeans Pants, Street chic Solid Cotton Spring Fall  ","Style:, Street chic,Fabric:, Cotton,Design:, Ripped,Pants Type:, Jeans, Slim",,,,,"
				Rs901
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05300413,,,,,,Women's Sandals Comfort Patent Leather Summer Casual Comfort Rivet Stiletto Heel White Black Gray Fuchsia Ruby 3in-3 3/4in  ,"2018 Trends:, Cross-Strap Sandals",,,,,"
				Rs1,729
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://li7.rightinthebox.com/images/384x384/201609/rdeffj1475035012748.jpg
#05546045,,,,,,"Women's Party Formal Club Sexy Shirt,Striped Off Shoulder Long Sleeves Cotton  ","Style:, Sexy,Occasion:, Club, Party,Tops Type:, Shirt,Neckline:, Off Shoulder,Fabric:, Cotton,Design:, Ruffle,Pattern:, Striped",,,,,"
				Rs1,126
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
