sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,weight,product_online,tax_class_name,visiblity,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_main_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty-inc,enable_qty_increments,is_decimal_divided,website_id,defered_stock_update,use_config_defered_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
#02050795,,,,,,"KYLIN SPORT™ Adjustable Hand Power Grip Exerciser 10-40 kg, Wrist & Forearm Strength Training  ",,,,,,"
				Rs663
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06090643,,,,,,WOSAWE Cycling Jersey Unisex Long Sleeves Bike Jersey Top Winter Fleece Bike Wear Quick Dry Breathability Stretchy Classic Mountain  ,"Season:, Winter,Function:, Quick Dry, - ,Fabric:, Fleece, - ",,,,,"
				Rs1,525
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#03641019,,,,,,Jaggad Women's Running T-Shirt Long Sleeves Quick Dry Moisture Permeability Breathable Sweat-wicking T-shirt Top for Yoga Pilates  ,"Function:, Breathable, - , Sweat-wicking, Quick Dry, - , Moisture Permeability, - ",,,,,"
				Rs1,326
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05053155,,,,,,"50 pcs Fishing Lures Soft Bait Soft Jerkbaits g / Ounce, 15 mm / <1"" inch, Silicon Bait Casting Ice Fishing Spinning Jigging Fishing  ","Fishing Method:, Spinning, Ice Fishing, Trolling & Boat Fishing, Bait Casting, General Fishing, Lure Fishing, Bass Fishing, Carp Fishing, Freshwater Fishing, Jigging Fishing",,,,,"
				Rs397
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06389598,,,,,,Ski Gloves Unisex Full-finger Gloves Keep Warm Coating Ski / Snowboard Hiking Outdoor Exercise Cycling / Bike Winter  ,,,,,,"
				Rs1,127
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04983245,,,,,,Inflated Mat Self-Inflating Camping Pad Heat Insulation Moistureproof/Moisture Permeability Waterproof Quick Dry Breathability Rectangular  ,,,,,,"
				Rs1,326
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06167453,,,,,,Breathable And Comfortable Paladin Summer Male Short Sleeve Cycling Jerseys DX780  ,"Function:, Quick Dry, - ",,,,,"
				Rs1,127
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06359723,,,,,,Unisex Ski Jacket Thermal / Warm Windproof Skiing Ski/Snowboarding Polyester  ,"Function:, Thermal / Warm, - , Windproof, - ",,,,,"
				Rs5,306
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04501114,,,,,,Anti-Fog Insert Clip Protective Case Case/Bags Screw Floating Buoy Suction Cup Straps Hand Grips/Finger Grooves Monopod Tripod Mount /  ,"Compatible Camera:, Gopro All Hero 5/4/3/3+/2/1",,,,,"
				Rs1,193
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06507783,,,,,,CYCOBYCO Cycling Jersey with Tights Men's Long Sleeves Bike Pants / Trousers Jersey Tights Top Clothing Suits Bike Wear Reflective Strip  ,"Function:, Quick Dry, - , Reflective Strips, - , 3D Pad, - ",,,,,"
				Rs3,316
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06466275,,,,,,Women's Muscle Tee Sleeveless Quick Dry Breathability Tank for Yoga Running/Jogging Exercise & Fitness Chinlon Elastane Polyster Grey  ,"Function:, Quick Dry, - ",,,,,"
				Rs755
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04813565,,,,,,Monocular Magnifiers/Magnifier Glasses Microscope Generic 60x Plastic  ,,,,,,"
				Rs331
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05740308,,,,,,Camping Pillow Heat Insulation Moistureproof/Moisture Permeability Waterproof Portable Breathability Wicking Nylon Nylon Hunting Hiking  ,,,,,,"
				Rs729
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05498370,,,,,,Naturehike 3-4 persons Tent Double Camping Tent One Room Family Camping Tents Well-ventilated Portable Ultra Light (UL) Windproof  ,"Tent Structure:, Double,Occupancy:, 3-4 persons",,,,,"
				Rs4,908
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06380791,,,,,,Ski Gloves Men's Waterproof Padded Fabric Ski / Snowboard Winter  ,,,,,,"
				Rs663
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06409645,,,,,,Protective Case Waterproof Waterproof Housing Case Outdoor High Definition Water Resistant / Water Proof All-In-1 Shatter-Resistant  ,"Compatible Camera:, SJCAM SJ7000",,,,,"
				Rs2,652
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05542306,,,,,,60 L Hiking & Backpacking Pack Travel Duffel Backpack Rucksack Camping / Hiking Ski / Snowboard Climbing Traveling Running  ,,,,,,"
				Rs2,918
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05392230,,,,,,Bike Saddles/Bicycle Saddles Recreational Cycling Mountain Bike/MTB Road Bike Plastic Titanium Breathable Other Ultra Light (UL)  ,,,,,,"
				Rs530
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#02397472,,,,,,Tiebao® Mountain Bike Shoes Cycling Shoes Men's Anti-Slip Ventilation Mountain Bike Outdoor PVC Leather Breathable Mesh Cycling  ,,,,,,"
				Rs3,316
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05935722,,,,,,Figure Skating Dress Women's Girls' Ice Skating Dress Vivid Pink Spandex Rhinestone Tulle High Elasticity Performance Skating Wear  ,"Function:, Handmade,Fabric:, Spandex",,,,,"
				Rs8,622
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#01173324,,,,,,Bike Tools Repair Tools & Kits Cycling/Bike Durable Plastic PE-1  ,,,,,,"
				Rs397
			",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
